price_per_commodity,product,location,email,max_capacity,contact,delivery_time( num of days),Business_id
$1512.83,Outdoors,Florida,wjinks1k@yale.edu,4064,407-400-4336,30,57
$4742.28,Clothing,Florida,favramovsky1l@sakura.ne.jp,2731,863-844-9671,13,58
$4532.00,Toys,California,gkidsley1m@springer.com,3973,619-969-6248,7,59
$4818.42,Outdoors,Florida,jranyard1n@archive.org,1545,305-648-9358,18,60
$3181.41,Garden,Florida,nfoulser1o@columbia.edu,11,904-307-9568,10,61
$4947.44,Beauty,Florida,rcupitt1p@ucoz.com,3868,904-670-7243,29,62
$193.51,Sports,North Carolina,estaunton1q@deviantart.com,727,704-160-5914,24,63
$4054.84,Outdoors,Pennsylvania,dbraniff1r@cyberchimps.com,3141,215-351-2620,4,64
$4642.00,Industrial,Alabama,njoska1s@qq.com,3970,205-327-9590,28,65
$1376.78,Beauty,Pennsylvania,lbrogiotti1t@naver.com,2879,484-257-0618,23,66
$4081.89,Tools,California,ncraw1u@timesonline.co.uk,1738,916-272-8304,11,67
$4684.55,Grocery,California,vsmeath1v@usnews.com,2170,510-814-6678,27,68
$2301.03,Toys,Ohio,bgallahue1w@vkontakte.ru,4445,937-411-7142,14,69
$384.10,Jewelry,Wisconsin,alehon1x@pbs.org,1565,414-929-5861,12,70
$3921.40,Clothing,Wisconsin,jpury1y@macromedia.com,2279,414-160-4743,15,71
$1277.65,Health,Ohio,sgoodbarne1z@vistaprint.com,743,614-408-0117,14,72
$1007.30,Home,California,fweddeburnscrimgeour20@issuu.com,3218,650-113-1330,21,73
$3793.80,Automotive,Ohio,sgodar21@gravatar.com,191,614-992-9122,7,74
$2115.79,Baby,California,tchidwick22@economist.com,3684,213-615-6877,27,75
$1202.83,Health,Kansas,jtowndrow23@admin.ch,812,316-187-8207,28,76
$1869.21,Books,Ohio,cbater24@go.com,77,216-329-3156,1,77
$3929.36,Health,Florida,srysdale25@omniture.com,1304,786-730-9164,4,78
$1197.55,Sports,California,mbineham26@stumbleupon.com,3816,909-412-5491,11,79
$3140.36,Books,Alabama,mmorden27@chronoengine.com,3334,334-515-1324,1,80
$2863.63,Books,California,pjans28@myspace.com,1188,213-806-6199,10,81
$2098.46,Computers,Florida,ctallant29@amazon.co.jp,3544,727-410-8774,24,82
$4229.88,Electronics,California,fkeuneke2a@columbia.edu,4294,415-911-2199,5,83
$3809.33,Electronics,Florida,japplegate2b@cnbc.com,3820,904-822-4166,26,84
$1345.08,Music,Wisconsin,hjuggins2c@mit.edu,1704,414-493-7920,30,85
$4749.72,Grocery,California,wacomb2d@state.tx.us,3324,626-167-8858,17,86
$3344.46,Computers,Kansas,agrocott2e@skype.com,366,316-494-2441,16,87
$172.72,Health,California,bsieb2f@dropbox.com,2339,213-285-2659,11,88
$1626.55,Jewelry,California,mshreve2g@addtoany.com,2727,310-383-6202,21,89
$4841.46,Outdoors,Florida,wmoxham2h@wufoo.com,414,941-444-0931,27,90
$3481.53,Home,California,vbowmen2i@meetup.com,2661,323-777-1303,29,91
$951.65,Games,Alabama,kmaccafferky2j@dion.ne.jp,3387,251-768-6642,15,92
$2885.82,Jewelry,Florida,adyke2k@example.com,3297,754-115-9761,25,93
$4276.76,Games,Kansas,dturnpenny2l@istockphoto.com,4984,816-142-3042,25,94
$3108.52,Shoes,California,kpetracek2m@sciencedaily.com,965,559-828-1681,5,95
$321.38,Grocery,Wisconsin,dcase2n@123-reg.co.uk,2990,608-382-8530,18,96
$3986.77,Kids,California,lcrumbleholme2o@reverbnation.com,420,510-288-0000,26,97
$1977.94,Electronics,Alabama,kpadillo2p@wix.com,4873,256-684-2262,26,98
$4920.83,Clothing,California,splampin2q@mit.edu,3229,209-758-6141,6,99
$1795.94,Grocery,Kansas,ctargett2r@answers.com,2047,316-258-5495,1,100
$1185.82,Automotive,Florida,pchampion2s@de.vu,2207,954-191-0549,23,101
$2469.22,Automotive,California,hhamor2t@walmart.com,1919,626-968-7065,14,102
$1299.14,Tools,New Jersey,rfulloway2u@hostgator.com,1812,201-241-3839,27,103
$4173.26,Garden,California,hasker2v@bandcamp.com,3015,415-332-3452,14,104
$3666.80,Computers,Connecticut,qbloxsome2w@earthlink.net,2132,860-641-0300,18,105
$3844.17,Movies,California,sjoret2x@gnu.org,1732,858-383-6768,20,106
$2953.10,Beauty,Florida,cetches2y@stumbleupon.com,1852,772-711-7273,24,107
$4428.80,Home,Florida,pjerrome2z@nbcnews.com,3748,904-148-4524,23,108
$2421.85,Beauty,Florida,atibbotts30@google.es,4144,941-790-9830,28,109
$3902.52,Books,Florida,bphoebe31@miitbeian.gov.cn,679,754-499-2834,1,110
$4357.90,Games,California,mstidston32@discuz.net,3044,408-202-8625,17,111
$298.20,Electronics,California,sryson33@theguardian.com,3123,209-126-2423,18,112
$4278.06,Garden,California,cdoe34@dion.ne.jp,885,559-792-5012,19,113
$1765.28,Outdoors,Florida,amalloy35@scribd.com,3609,850-815-1733,22,114
$3182.96,Beauty,North Carolina,bnathan36@i2i.jp,3531,919-347-1790,13,115
$3396.34,Industrial,Ohio,dwinsiowiecki37@cafepress.com,1054,513-914-2581,18,116
$4953.82,Automotive,California,pprater38@buzzfeed.com,3860,714-962-6366,17,117
$3913.77,Toys,California,dgeake39@ibm.com,1072,510-674-0862,10,118
$4066.80,Outdoors,California,hoaker3a@posterous.com,2410,619-904-1786,17,119
$1116.35,Jewelry,Ohio,jlyttle3b@mtv.com,1348,440-153-3795,22,120
$4855.61,Automotive,Florida,curwin3c@usgs.gov,3694,561-860-7690,5,121
$2913.04,Outdoors,Connecticut,ioverel3d@baidu.com,1227,203-755-7995,20,122
$457.31,Books,California,hilett3e@upenn.edu,2197,559-119-2973,30,123
$3925.96,Beauty,Pennsylvania,jvickery3f@yale.edu,1811,814-967-7225,28,124
$728.45,Movies,California,tgallagher3g@dailymail.co.uk,4322,818-118-4054,27,125
$2987.73,Sports,Wisconsin,kstreeting3h@ebay.com,2934,262-156-7444,14,126
$3469.14,Books,Pennsylvania,cburnell3i@com.com,1469,215-631-1620,7,127
$1071.82,Jewelry,California,jthal3j@shinystat.com,462,714-469-2020,10,128
$2589.75,Games,Florida,blevensky3k@aboutads.info,4676,772-390-5105,2,129
$4098.20,Books,Alabama,hgarman3l@discuz.net,1979,334-977-6559,9,130
$2425.06,Computers,Connecticut,blightbourne3m@un.org,761,860-100-7782,12,131
$4395.06,Music,North Carolina,nraiker3n@booking.com,4378,704-240-8124,14,132
$1370.40,Computers,Florida,hcompson3o@squarespace.com,4126,813-610-2375,22,133
$1824.10,Games,Alabama,moflaherty3p@lycos.com,2020,251-554-5351,3,134
$2841.01,Games,Ohio,bstreatfield3q@plala.or.jp,1545,614-531-4399,18,135
$2089.21,Electronics,Alabama,abarents3r@acquirethisname.com,4791,205-666-1417,21,136
$4373.78,Beauty,Pennsylvania,dblakden3s@sitemeter.com,3677,215-894-4366,4,137
$1137.72,Grocery,California,avalentine3t@hatena.ne.jp,2922,562-747-7388,18,138
$1671.77,Shoes,Ohio,jdrew3u@eepurl.com,3184,513-278-7219,6,139
$1439.51,Books,California,amckerron3v@yahoo.com,4324,310-924-9626,29,140
$4396.23,Grocery,California,bclemmitt3w@mozilla.org,1915,209-251-4432,25,141
$3202.77,Kids,Pennsylvania,dpikesley3x@deliciousdays.com,343,412-362-5440,16,142
$633.05,Industrial,Florida,ijopson3y@shop-pro.jp,2224,850-457-1702,30,143
$646.67,Jewelry,Florida,ibrevetor3z@topsy.com,649,352-559-7402,10,144
$2611.82,Industrial,Alabama,okemson40@addtoany.com,642,205-167-4503,14,145
$4726.58,Baby,Ohio,tboarer41@google.it,3907,330-977-2643,9,146
$2717.26,Books,California,sburnside42@quantcast.com,1625,408-644-4212,20,147
$579.35,Garden,Alabama,kvlahos43@imdb.com,56,251-723-7443,11,148
$2502.38,Automotive,Connecticut,cmabone44@ycombinator.com,2668,203-620-5858,20,149
$2030.34,Shoes,Alabama,mdepke45@seattletimes.com,1091,334-351-5018,10,150
$2485.65,Garden,Florida,gsimakov46@hatena.ne.jp,130,772-455-3434,8,151
$4950.74,Tools,New Jersey,agreenless47@gizmodo.com,128,609-593-1550,15,152
$1752.54,Clothing,California,dtoye48@weebly.com,1538,916-323-4873,25,153
$454.23,Music,California,vchill49@utexas.edu,2877,714-556-5680,26,154
$1154.96,Electronics,Alabama,rfarrimond4a@telegraph.co.uk,680,205-198-0082,22,155
$2525.73,Garden,California,gcawsey4b@washingtonpost.com,2722,408-329-4664,14,156
$2483.70,Automotive,Alabama,nberryann4c@auda.org.au,1237,205-499-8924,1,157
$982.07,Home,Pennsylvania,acoulthard4d@noaa.gov,2424,412-377-7205,14,158
$3371.10,Outdoors,California,jsauven4e@artisteer.com,2568,559-957-6947,29,159
$3454.46,Beauty,California,wgrafton4f@51.la,2910,415-248-5056,2,160
$16.27,Home,North Carolina,bstansfield4g@prlog.org,3308,919-266-7095,8,161
$2516.86,Health,California,jivankovic4h@weather.com,3801,714-684-3681,18,162
$186.88,Baby,California,dnestoruk4i@instagram.com,4205,916-347-8732,21,163
$3393.01,Tools,Pennsylvania,ajirak4j@hud.gov,4574,215-527-4953,5,164
$3004.48,Garden,California,mvanyushkin4k@upenn.edu,3260,323-415-9231,5,165
$1.59,Home,Alabama,amatokhnin4l@sitemeter.com,3674,205-639-2710,6,166
$4860.09,Movies,Alabama,wchilley4m@china.com.cn,948,251-875-9578,29,167
$1335.46,Movies,Florida,ccellone4n@amazon.de,1224,786-381-6027,1,168
$4089.55,Movies,Pennsylvania,kcargon4o@google.co.jp,431,724-656-9238,10,169
$2283.80,Home,Kansas,lgascoigne4p@theglobeandmail.com,4231,785-269-0746,21,170
$2453.86,Computers,California,wcasel4q@springer.com,915,714-804-8590,26,171
$3532.66,Clothing,California,rcotman4r@dion.ne.jp,2961,213-365-2899,10,172
$2050.15,Health,Florida,treitenbach4s@msn.com,669,941-298-7355,5,173
$350.66,Outdoors,Florida,iklementz4t@altervista.org,1770,754-690-3106,26,174
$1514.84,Books,California,bbrewitt4u@dion.ne.jp,4926,619-282-3017,9,175
$314.85,Jewelry,Ohio,ibullent4v@narod.ru,4937,513-559-7410,13,176
$1901.38,Home,Kansas,abrambell4w@mapquest.com,1365,816-698-8496,25,177
$3920.37,Movies,California,mmccloughen4x@cyberchimps.com,2800,619-850-0858,2,178
$2495.33,Games,Pennsylvania,fbevan4y@liveinternet.ru,744,570-127-6554,2,179
$1840.15,Kids,Florida,dhirsthouse4z@ucoz.ru,3847,813-402-5337,28,180
$508.18,Books,Pennsylvania,gaspall50@japanpost.jp,2645,610-649-7763,2,181
$3757.66,Outdoors,California,ishernock51@ftc.gov,4966,415-924-4237,7,182
$2461.75,Health,Alabama,tgives52@va.gov,2012,334-684-8447,12,183
$484.38,Movies,North Carolina,ftennet53@ft.com,2416,910-507-3364,2,184
$1484.94,Movies,Alabama,ffay54@gov.uk,1992,251-195-0513,1,185
$3529.98,Outdoors,California,bschwartz55@amazon.com,4335,559-215-0598,1,186
$806.59,Clothing,Ohio,theinzler56@dion.ne.jp,4725,330-420-7543,14,187
$1420.43,Jewelry,Florida,opeggs57@redcross.org,3078,407-451-0753,11,188
$2333.24,Outdoors,Kansas,pcollison58@tinyurl.com,3724,316-198-8798,15,189
$1078.00,Electronics,Pennsylvania,tstrathe59@illinois.edu,2955,724-730-0574,8,190
$3825.78,Books,Florida,cjosifovitz5a@gravatar.com,4455,941-138-7142,29,191
$2866.15,Home,California,knewberry5b@goo.gl,1416,760-651-7376,24,192
$848.81,Health,California,amatthewson5c@wikimedia.org,3058,760-259-8060,5,193
$4800.30,Books,California,lschubert5d@bing.com,2350,213-393-5194,17,194
$4540.17,Games,Florida,lbidgood5e@goodreads.com,649,941-763-6317,8,195
$4927.38,Kids,Florida,oblogg5f@elpais.com,3046,407-379-3893,8,196
$1932.32,Automotive,Florida,prestall5g@theglobeandmail.com,261,305-794-6889,1,197
$2536.13,Music,Alabama,skettleson5h@prlog.org,4362,205-453-1979,22,198
$3484.36,Books,Pennsylvania,jculmer5i@nba.com,1407,215-216-8187,24,199
$847.45,Music,Wisconsin,toxx5j@timesonline.co.uk,4477,414-483-9859,16,200
$1170.73,Electronics,North Carolina,jpinching5k@salon.com,2194,919-347-4395,8,201
$515.74,Tools,Pennsylvania,rgiacoboni5l@1688.com,1055,412-870-8393,25,202
$238.94,Garden,California,jfitzpayn5m@toplist.cz,225,408-262-1157,28,203
$3978.36,Sports,California,hperrins5n@sbwire.com,4164,858-108-7694,9,204
$3685.06,Kids,Alabama,ngaspero5o@springer.com,4287,334-970-1593,21,205
$4096.69,Beauty,California,sbendare5p@usa.gov,3271,559-977-8812,24,206
$4733.42,Sports,Florida,imothersdale5q@redcross.org,3044,941-665-4540,16,207
$2956.37,Electronics,Florida,thogbourne5r@privacy.gov.au,3754,727-737-8930,7,208
$1851.59,Electronics,Florida,hwainscot5s@opensource.org,4702,239-885-4415,30,209
$237.80,Garden,Florida,bbetham5t@wisc.edu,3579,772-939-8287,28,210
$1715.46,Automotive,New Jersey,mwellfare5u@1688.com,4496,609-868-1122,12,211
$2310.78,Sports,Florida,lgors5v@ucsd.edu,1791,561-410-9403,19,212
$3705.28,Jewelry,California,dsquirrell5w@house.gov,2892,818-283-1090,13,213
$2110.08,Music,Pennsylvania,gdanilowicz5x@yelp.com,4761,570-487-6523,19,214
$1614.82,Movies,Ohio,atumilty5y@epa.gov,4781,419-439-7626,13,215
$1512.86,Clothing,Kansas,pstinson5z@theguardian.com,89,785-775-0032,30,216
$3032.77,Grocery,Pennsylvania,glogan60@jugem.jp,1609,570-963-0144,2,217
$952.15,Industrial,Pennsylvania,aburkwood61@blogtalkradio.com,1970,215-959-1682,7,218
$1746.29,Home,California,rpenhaligon62@soup.io,2448,707-322-9768,4,219
$4287.65,Automotive,Pennsylvania,tcaddens63@free.fr,1010,215-922-6563,21,220
$4003.05,Outdoors,California,kginnety64@bloglovin.com,2812,310-286-0891,19,221
$204.10,Movies,Connecticut,rdecourt65@livejournal.com,954,203-676-0723,28,222
$2279.28,Music,Florida,cbasant66@apache.org,4783,407-678-7056,8,223
$3954.15,Health,Ohio,efere67@businesswire.com,1383,330-661-7569,13,224
$2373.43,Movies,California,dfarran68@cbslocal.com,3524,805-674-1716,23,225
$3379.76,Health,California,ckillingworth69@businessweek.com,3106,619-664-1375,9,226
$3214.67,Sports,California,mbiggerdike6a@drupal.org,1059,619-481-1533,14,227
$1333.01,Games,Wisconsin,tpashley6b@istockphoto.com,2025,608-812-4786,27,228
$1593.84,Beauty,California,myegorshin6c@hugedomains.com,3658,310-225-2964,25,229
$40.49,Garden,Florida,mollivier6d@senate.gov,714,561-742-4281,15,230
$2829.65,Grocery,Florida,textence6e@ebay.co.uk,3266,305-151-3066,19,231
$2615.59,Electronics,Ohio,gcreboe6f@sciencedaily.com,3010,440-951-3161,19,232
$1932.27,Beauty,Pennsylvania,aberkeley6g@shinystat.com,3087,570-827-7966,20,233
$3965.10,Shoes,North Carolina,lbufton6h@google.es,468,336-895-3377,7,234
$4081.11,Kids,Florida,pkilbane6i@miitbeian.gov.cn,1182,561-948-0485,7,235
$2248.56,Tools,Ohio,qdowry6j@macromedia.com,4374,419-668-3251,19,236
$3324.86,Music,California,obleiman6k@themeforest.net,3865,408-962-5535,26,237
$4363.23,Movies,Kansas,mpetrovsky6l@google.ru,2812,316-900-0712,21,238
$188.95,Industrial,California,wdewi6m@marketwatch.com,781,408-716-2831,23,239
$1942.94,Kids,Florida,gmoro6n@newyorker.com,4419,954-452-9162,25,240
$1789.00,Jewelry,Ohio,gloddon6o@goo.gl,4434,419-223-7117,3,241
$4419.04,Movies,Florida,enadin6p@nba.com,194,772-300-9482,5,242
$4827.93,Tools,Ohio,ityndall6q@nba.com,2485,614-492-8328,23,243
$2332.39,Clothing,Ohio,ebilborough6r@nps.gov,2577,440-799-7388,28,244
$1475.37,Clothing,Pennsylvania,dmarthen6s@jalbum.net,1107,610-405-2437,8,245
$3726.27,Books,California,gnockells6t@ox.ac.uk,3829,626-989-2346,7,246
$351.44,Home,North Carolina,mroddick6u@imdb.com,3924,336-558-7518,1,247
$1084.13,Electronics,Pennsylvania,sbubbear6v@about.me,840,412-693-2454,12,248
$2942.77,Books,Florida,jstockall6w@imdb.com,1212,305-277-1429,17,249
$3684.31,Industrial,North Carolina,chayton6x@angelfire.com,907,919-157-3550,25,250
$3556.07,Kids,California,aslatcher6y@slideshare.net,2523,760-279-4511,14,251
$1694.02,Industrial,Pennsylvania,bedridge6z@elpais.com,3546,215-294-9407,27,252
$2548.75,Games,Pennsylvania,atappington70@apache.org,14,267-124-8353,19,253
$142.67,Jewelry,Ohio,sstranks71@nytimes.com,4525,216-874-9822,15,254
$3584.02,Industrial,Florida,wdemangel72@ihg.com,1950,352-290-3364,5,255
$1363.10,Baby,California,abiggadike73@deliciousdays.com,4987,805-585-1969,11,256
$1401.52,Jewelry,Florida,ebaroche74@nasa.gov,3177,772-575-1948,6,257
$84.16,Kids,California,slindsell75@huffingtonpost.com,1586,415-712-3479,17,258
$155.18,Industrial,Ohio,dmaggiore76@symantec.com,1329,419-294-6056,22,259
$184.23,Kids,Pennsylvania,dlosebie77@bloglovin.com,2953,717-674-7452,19,260
$1531.92,Books,New Jersey,mglentworth78@home.pl,3204,862-158-0487,30,261
$3406.06,Garden,California,ifarlane79@elpais.com,1215,949-663-6046,24,262
$572.33,Shoes,Florida,djelphs7a@homestead.com,2741,904-443-7651,22,263
$4144.17,Sports,California,gvoase7b@over-blog.com,1992,510-591-2693,6,264
$1383.58,Automotive,Florida,rnelthorpe7c@cocolog-nifty.com,568,904-538-7397,16,265
$3405.30,Jewelry,California,hbernette7d@army.mil,4182,310-338-9856,25,266
$3909.35,Beauty,California,nlilie7e@zdnet.com,1437,626-588-9883,27,267
$3244.80,Games,New Jersey,ybundy7f@instagram.com,1644,201-485-1936,8,268
$1631.66,Automotive,North Carolina,dcoundley7g@flavors.me,4473,336-392-0630,8,269
$4121.94,Kids,North Carolina,khadwen7h@amazon.de,4566,336-950-0449,10,270
$4681.77,Tools,North Carolina,slightwing7i@jugem.jp,696,919-661-5882,22,271
$2654.47,Clothing,Florida,ajaqueme7j@mail.ru,238,407-280-7695,6,272
$4567.47,Tools,California,sswinyard7k@archive.org,3923,760-719-6289,26,273
$1521.90,Tools,California,mlampe7l@washingtonpost.com,1141,805-445-6419,1,274
$1484.29,Jewelry,Florida,cworsfold7m@opera.com,4475,786-133-5738,13,275
$796.68,Electronics,North Carolina,rclaasen7n@webeden.co.uk,4506,336-321-6392,22,276
$4599.11,Industrial,Pennsylvania,ktsarovic7o@bravesites.com,840,717-348-4688,22,277
$702.03,Industrial,Ohio,lhullot7p@virginia.edu,4782,513-364-7135,17,278
$2649.29,Shoes,California,jsilcox7q@printfriendly.com,2953,916-917-4572,11,279
$3425.79,Grocery,California,aoakinfold7r@telegraph.co.uk,4130,408-444-2085,20,280
$2884.39,Baby,California,ebehnecke7s@bloomberg.com,3233,559-423-8846,26,281
$1537.37,Outdoors,Ohio,ccollison7t@theguardian.com,3584,513-543-2240,15,282
$4819.80,Shoes,Kansas,bjan7u@squarespace.com,716,785-695-6365,10,283
$4351.07,Clothing,California,kwhight7v@google.co.uk,3154,323-569-6533,8,284
$1930.28,Garden,California,gcawt7w@merriam-webster.com,321,213-857-3415,30,285
$4252.59,Industrial,New Jersey,cpiper7x@quantcast.com,4892,973-415-3794,2,286
$975.76,Garden,California,mtolchard7y@acquirethisname.com,4644,510-345-1739,24,287
$3965.01,Garden,California,jkitchaside7z@nyu.edu,267,559-111-8398,19,288
$2319.89,Tools,California,pege80@slashdot.org,2321,209-134-5022,8,289
$216.75,Clothing,Ohio,mholborn81@seattletimes.com,2849,513-353-1840,2,290
$2517.52,Clothing,New Jersey,mjillins82@yahoo.co.jp,3902,609-186-7800,16,291
$3378.06,Sports,Kansas,nbaine83@ebay.co.uk,3854,316-964-5121,15,292
$294.51,Garden,Florida,cgarrelts84@themeforest.net,3541,239-554-5266,25,293
$1123.36,Clothing,Pennsylvania,rciubutaro85@uiuc.edu,23,717-117-6669,5,294
$12.14,Books,Florida,lmil86@blog.com,1002,904-967-6473,18,295
$4364.90,Garden,North Carolina,fgrundey87@reverbnation.com,4686,910-814-1312,27,296
$4243.19,Music,Florida,iblaasch88@stanford.edu,278,305-940-6356,2,297
$2588.71,Shoes,Ohio,sbattany89@yellowpages.com,3246,513-271-7992,11,298
$3820.55,Shoes,California,tmcilharga8a@guardian.co.uk,2002,559-107-2537,4,299
$3815.08,Beauty,Florida,pheck8b@elegantthemes.com,391,352-823-9689,20,300
$1809.99,Movies,California,mharraway8c@twitter.com,542,310-283-1384,17,301
$4041.64,Baby,Pennsylvania,nvahl8d@symantec.com,1489,570-856-0108,28,302
$738.76,Sports,California,ksisland8e@surveymonkey.com,3746,909-475-3093,3,303
$716.11,Baby,Ohio,rjelf8f@github.com,143,513-385-1058,29,304
$3840.07,Grocery,Pennsylvania,ckensett8g@hostgator.com,2749,215-712-4989,14,305
$4930.13,Health,Connecticut,klemme8h@usatoday.com,3924,203-803-9864,21,306
$2984.63,Movies,Pennsylvania,ggentry8i@elegantthemes.com,4920,717-461-4461,13,307
$4280.95,Toys,Alabama,acleaves8j@webeden.co.uk,989,334-312-8239,22,308
$2199.12,Books,North Carolina,grodd8k@senate.gov,868,919-270-2435,3,309
$2407.14,Games,California,tburgise8l@a8.net,2083,559-872-2724,2,310
$2118.61,Games,Florida,lrustman8m@wufoo.com,666,941-824-4505,19,311
$246.95,Industrial,Pennsylvania,lmclaren8n@stanford.edu,3489,570-843-3523,16,312
$3093.17,Toys,Wisconsin,pkirke8o@hubpages.com,3678,414-397-4380,20,313
$79.43,Jewelry,Pennsylvania,bdyte8p@statcounter.com,1865,412-899-7131,18,314
$252.06,Home,Connecticut,rscouler8q@go.com,2807,203-202-1656,2,315
$3603.40,Electronics,Florida,dflarity8r@github.io,732,904-828-0584,21,316
$123.72,Sports,North Carolina,cspera8s@harvard.edu,3204,704-529-0918,4,317
$4055.75,Music,Florida,mkitchinham8t@psu.edu,3503,561-518-9184,25,318
$3012.69,Automotive,North Carolina,kromeril8u@msu.edu,3860,336-851-5269,3,319
$1385.74,Outdoors,California,bpresland8v@exblog.jp,1660,559-143-1256,10,320
$783.96,Beauty,Florida,rhaney8w@com.com,1736,561-857-7742,27,321
$384.39,Beauty,California,srennebach8x@illinois.edu,423,310-214-2521,30,322
$3314.78,Kids,Florida,amoughton8y@edublogs.org,4634,954-282-6907,14,323
$3068.19,Baby,Florida,fcowoppe8z@samsung.com,487,904-867-7374,11,324
$4581.74,Automotive,Pennsylvania,hslaney90@comsenz.com,3035,215-441-5986,23,325
$2643.25,Jewelry,Ohio,rphilipard91@intel.com,3337,513-973-9597,16,326
$4703.53,Industrial,Alabama,lthorrington92@deliciousdays.com,4010,334-646-6347,25,327
$2339.83,Kids,Ohio,djacobi93@shutterfly.com,1625,330-311-9071,6,328
$4073.21,Shoes,Pennsylvania,qmcknish94@slate.com,416,412-349-9845,13,329
